Data,Cliente,Endereco,OS Digital,Relato
02/09/2025,CONDOMINIO DULCE EDWARDS,"R. José Colombani Filho, 270 - Águas da Prata, São José dos Campos - SP, 12224-816",https://app.auvo.com.br/informacoes/tarefa/7d5330a1-467c-4a4f-9271-ae898d2ad3c7?chave=kl3yIWMp0-Fvbv9ySvGJHQ,"1,27x0,42

4,80x6,10

Solicitar peça da bike kv 6.3i 
1 roda de inércia
1 pé de vela esquerdo"
04/09/2025,Blue Fit Aquarius,"Aquarius Center - Av. Cassiano Ricardo, 521 - 3. andar - Parque Res. Aquarius, São José dos Campos - SP, 12246-870 - 3 andar- SL 01",https://app.auvo.com.br/informacoes/tarefa/2a2c7240-1352-4b3b-bb5c-0ef8580c16f4?chave=p-u4v41E8eq6JJc8wkFJaQ,"Não foi possível instalar o freio da escada, barulho é do rolamentos"
04/09/2025,Daniela Cristina Sant' Ana Alves,"R. Vinícius de Morães, 34 - Vila Sao Joao, Caçapava - SP, 12281-280",https://app.auvo.com.br/informacoes/tarefa/d551dc5f-946d-4712-b3ff-c8439757443f?chave=yn3UUz5CvvxSKG9T4gJvLQ,Não foi possível instalar a correia pois ela é maior que a original não servindo na bicicleta. A correia original tem a medida aproximada de 98 cm. Tendo que a nova ter essa mesma aproximação.
05/09/2025,Studio Jordana Jardim Alvorada,"Av. Cassiano Ricardo, 1378 - Jardim Alvorada, São José dos Campos - SP, 12240-540",https://app.auvo.com.br/informacoes/tarefa/98d38812-2f89-4d84-aacc-21b2c53d456d?chave=lkdzPTk6dQYACGoMmxhGZA,"Realizado manutenção preventiva em todos os equipamentos 
Foi realizado aperto da estrutura e banco do remo, faltando 3 parafusos.
Cadeira extensora/ flexora está quebrado ponto de limite do ajuste do encosto
Esteira TR8 pro está com o eixo traseiro fazendo barulho, necessário reparo"
09/09/2025,Blessed Condomínio ,"R. Jurema Viêira Medrado, 40 - Parque Res. Aquarius, São José dos Campos - SP, 12246-180",https://app.auvo.com.br/informacoes/tarefa/f0c82f4d-51f5-4f7b-8fc2-3d00ef1c35e0?chave=OeeThueBv-wVqEc-wUM42A,"Realizado manutenção preventiva em todos os equipamentos 
1 Estação de musculação está com o cabo danificado 
1 bicicleta está com erro E-2
Não foi possível instalar roda de inércia, falta 1 porca
Teste ok"
11/09/2025,Maranata Parque Industrial,"R. Icatu, 170 - Conj. Res. Trinta e Um de Marco, São José dos Campos - SP, 12237-010",https://app.auvo.com.br/informacoes/tarefa/db2d9803-4147-4218-adfd-924727a1e06a?chave=YL-eGc1mllR4Eg13M6cPlA,"Realizado manutenção preventiva em todos os equipamentos 
2 bicicletas speedo B35x estão com pilhas vazando, necessário troca.
1 bicicleta speedo B35x está sem trava pés lado esquerdo e o par de pedal está quebrado as laterais, e também caixa da pilha correu o contato 
1 elíptico speedo E35x está com as pilhas AA sem carga.
Estofado e rolinho do puxador alto danificado 
Estofado do banco danificado 

Teste ok"
11/09/2025,JERIBA,"Estr. do Limoeiro, 595 - Jardim California, Jacareí - SP, 12335-360",https://app.auvo.com.br/informacoes/tarefa/ccb30e1b-9075-4b21-b3db-d9b2bce19fe2?chave=tUJ3yg77wMzTFf7xdKg0Bg,"Realizado a fixação do parafuso faltando, e feito o aperto dos outros parafusos.
Suporte das barras necessário solda, está faltando um tubo para soldar."
15/09/2025,SPAZIO CAMPO DI SAVOYA,"Rua Icatu, 390 Parque Industrial São José dos Campos-SP 12235-649",https://app.auvo.com.br/informacoes/tarefa/ad31bcea-4ab9-4c7e-bed1-79a34f0f931c?chave=EWEJUEhapqKtbG7lyHqnYA,"Manutenção preventiva em todos os equipamentos.

Orçamento.

Amortecedores da esteira está danificado total de quatro peças recomenda-se trocar os quatro pares. 
Condomínio aguardando a solicitação a peça da estação danificada"
17/09/2025,CRYSTAL PARK,"Av. do Cristal, 355 - Parque California, Jacareí - SP, 12311-210",https://app.auvo.com.br/informacoes/tarefa/ab6ed002-aaec-4902-a47a-14893150e6f5?chave=4MHjSbjMCL1d9y0WuuIoKg,"Realizado manutenção preventiva em todos os equipamentos 
Máquina de abdominal está com parte da estrutura danificado, necessário soldar 
Máquina flexora deitada está com o cabo danificado, estofado e 2 rolinhos está com o estofado danificado 
Cadeira flexora/extensora está com o cabo danificado 
Bicicleta horizontal speedo R55SG está sem trava pés lado direito 
Cadeira abdutora/ adutora está com 2 estofados danificados 
Teste ok"
17/09/2025,Home & Club Villa Branca,"Av. das Letras, 1099 - Lot. Villa Branca, Jacareí - SP, 12301-000",https://app.auvo.com.br/informacoes/tarefa/6aeecc21-32b2-4134-bba6-a599a19c1137?chave=q9VI0mztzgnJm1tpNvo70g,"Realizado manutenção preventiva em todos os equipamentos 
1 esteira moviment LX 160 está com a lona danificada 
2 esteiras moviment LX 160 está com o deck danificado 1 esteira está com a correia danificada ( 813J8 )
1 esteira speedo TR8 Pro está com o deck danificado 
Elíptico moviment LX E G4 está com o seletor de carga quebrado 
Teste ok"
18/09/2025,CONDOMINIO RESIDENCIAL JARDINS,"Avenida Rio Grande do Sul, Jardim Primavera, Caraguatatuba - SP, 11660-710, Brasil",https://app.auvo.com.br/informacoes/tarefa/9fb44013-cc34-4e63-8762-111a599a9beb?chave=FOOPkUDT9yRrDUa2eU3jeQ,"1 esteiras moviment LX3.0 botão emergência stop quebrado, necessário troca
foi verificado que a placa sensor capacitivo do braço está falhando responde e não responde fiação ok, conexões ok
A outra esteira não apresentou falha, teste ok"
18/09/2025,Estação Do Mar,"Av. Guarda Mirim Juarez, 32 - Indaiá, Caraguatatuba - SP, 11665-340",https://app.auvo.com.br/informacoes/tarefa/b22c8c52-b11a-461f-9e24-abe93cd37b89?chave=VzVIybCgspCtzct1R3dE4A,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação Kikos 518EX está com o cabo danificado 
1 esteira Kikos KX5000 pro está com o sensor de batimentos cardíaco lado esquerdo quebrado, necessário troca, foi aplicado cola e fixado.
Teste ok"
19/09/2025,CONDOMINIO MANSAO DE VERONA,"Alameda Subtenente Francisco Hierro, 360 - Parque Novo Mundo, São Paulo - SP, 02187-040",https://app.auvo.com.br/informacoes/tarefa/6215aaa8-c1e4-4522-9698-7b2d32287c8c?chave=iE815QMjyH-i6fCiBStubQ,"Realizado manutenção preventiva em todos os equipamentos 
Bicicleta horizontal speedo R55
Estação com 1 rodinha do banco danificado, realizado ajuste nas 4 rodinhas estavam sem parafuso de fixação
Morador reclamou de barulho na esteira, foi verificado que a 
Esteira starke 6.5 está com a solda do braço quebrado, necessário reparo.
Estação de musculação starke 1 rolinho está danificado 
Teste ok"
23/09/2025,Gustavo Bernardino de Camargo ,"R. Vinte e Três de Maio, 475 - Centro, Guararema - SP, 08900-000 - Sala 6",https://app.auvo.com.br/informacoes/tarefa/480df3ae-5549-45c0-ac02-0e05b0c40167?chave=cd-awxzHfq-j8M0GWlVy-w,"Realizado troca do cabo cadeira
 flexora/ extensora starke 2,80M
Feito aperto em toda a estrutura e lubridicado.
Pino trava eixo quebrado, necessário troca.
Teste ok"
25/09/2025,JARDIM TERRAS DO VALE ASSOCIACAO DOS ADQUIRENTES DE LOTES DO LOTEAMENTO RESIDENCIA,"Rua das Guaimbes, Caçapava - SP, Brasil",https://app.auvo.com.br/informacoes/tarefa/f6255b0e-a49a-4b23-acd7-fe6728c7336f?chave=oUXPhsiU3MnjHnMcZWqebQ,"Foi realizada a verificação e o pino está de acordo com o padrão da máquina.
Foi questionado se o fato dele ter um jogo lateral influencia o pino soltar porém não há influência uma vez que o pino está encaixado de frente não tendo a possibilidade dele soltar conforme o jogo lateral.

Tentei verificar a possibilidade diminuir o espaçamento das rodas que prendem o suporte porém elas não tem ajuste sendo necessário ver a possibilidade de talvez trocar o conjunto de rodinhas.

Pelo knob está posicionado dentro do gancho de suporte não é possível colocar um knob maior do que o atual"
25/09/2025,Paulo Solda,"R. Odete, 210 - Centro, Jacareí - SP, 12307-440",https://app.auvo.com.br/informacoes/tarefa/35d354f0-62ba-4176-a3b2-3a8371c62358?chave=xPdRSgUvSv7WAqfvQdh-fA,"Foi entregue para soldar 1 banco
1 suporte"
26/09/2025,ATHMOSPHERE VILA EMA,"Av. Heitor Villa Lobos, 600 - Jardim Sao Dimas, São José dos Campos - SP, 12243-260",https://app.auvo.com.br/informacoes/tarefa/cc3635fa-cc57-4ab7-96f0-91d49613e178?chave=fSG0cO-ff-1YnyqPdC9pTw,"O sensor de batimentos está quebrado. Ele é feito com encaixe e um lado quebrou. O recomendado seria a troca. Mas o sensor ja não funcionava afetivamente. 

Uma possibilidade é retirar os sensores e colocar uma borracha única dos dois lados"
26/09/2025,Verano Home Resort ,"R. São Diego, 500 - Jardim California, Jacareí - SP, 12305-650",https://app.auvo.com.br/informacoes/tarefa/d0be0440-a865-43a0-b57e-a85b3a6d9f1f?chave=x9sahBe7euQ8el7KQFSLAQ,"Foi verificado que não a necessidade trocar os cabos do Cross, não estão danificados, apenas necessário 2 bolinhas nos terminais. Tem 1 roldana quebrada necessário troca e o equipamento precisa de aperto e lubrificação nas torres de peso e na barra seletora de altura.
3 bicicletas evolution B902 estão sem trava pés, 2 estão com cabos do sensor de batimentos danificados, 1 necessário trocar pilhas AAA.
1 elíptico necessário aperto de estrutura.
Banco do supino necessário aperto de estrutura e faltando 2 parafusos no acento.
3 esteiras evolution 4000 pro sem carenagem traseira, 3 sem lubrificação no deck, 3 necessário fixação dos estribos."
