Data,Cliente,Endereco,OS Digital,Relato
01/09/2025,SMART RESIDENCE,"R. Itajai, 161 - Altos do Esplanada, São José dos Campos - SP, 12246-856",https://app.auvo.com.br/informacoes/tarefa/f652ee84-8ffd-45a3-8b20-d3e2f6f45bda?chave=IzsfIkLOZ5J3BGAvp-W9sw,"Realizado manutenção preventiva em todos os equipamentos 
Cabo da estação de musculação danificado.
Teste ok"
01/09/2025,SOLAR AQUARIUS,"R. do Aruanã, 116 - Parque Res. Aquarius, São José dos Campos - SP, 12246-250",https://app.auvo.com.br/informacoes/tarefa/ab132f28-ddac-4fb5-b45e-e394392ed742?chave=0Hir4QI-lNnKxTYIdPDGDg,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação está com o cabo danificado
Teste ok"
01/09/2025,CONDOMINIO RESIDENCIAL PALOMA,"R. do Aruanã, 67 - Jardim Aquarius, São José dos Campos - SP, 12246-250",https://app.auvo.com.br/informacoes/tarefa/2c51612c-b797-4b4b-9c39-8a7027693b80?chave=a9Ohk4mdC-jZivwSDQGuKw,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação está com o cabo danificado 
Banco do supino está com o estofado danificado 
Teste ok"
01/09/2025,Monreale ASAKUSA HOTEIS LTDA,"Av. Eng. Francisco José Longo, 511 - Jardim Sao Dimas, São José dos Campos - SP, 12245-000",https://app.auvo.com.br/informacoes/tarefa/ebe1253c-7c54-4fe9-a3ec-d5adbed68c44?chave=I6UToMYzzOFUio5t-Q43DA,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação torus 308 está com o cabo danificado 
Teste ok"
02/09/2025,Residencial Monte Estoril,"R. José Ivair de Souza, 91 - Jardim Estoril, São José dos Campos - SP, 12232-060",https://app.auvo.com.br/informacoes/tarefa/79421523-4d62-4694-8b1e-e5d93eb2afa9?chave=q3xkP9hZu9tZespfDGkaeA,"Realizado manutenção preventiva em todos os equipamentos 
Membrana do painel da esteira athletic está danificado o +
Teste ok"
02/09/2025,CITTA DI ROMA,"R. Roma, 673 - Jardim Augusta, São José dos Campos - SP, 12216-510",https://app.auvo.com.br/informacoes/tarefa/9b31b4e8-5592-47e9-8bdc-7c3ae296575a?chave=L9Uj7fSEEOvcuT4nC03jQQ,"Realizado a troca do cabo rompido, 3M, foi verificado que 1 roldana está quebrada, necessário troca.
Teste ok"
02/09/2025,CONDOMINIO DULCE EDWARDS,"R. José Colombani Filho, 270 - Águas da Prata, São José dos Campos - SP, 12224-816",https://app.auvo.com.br/informacoes/tarefa/7d5330a1-467c-4a4f-9271-ae898d2ad3c7?chave=kl3yIWMp0-Fvbv9ySvGJHQ,"1,27x0,42

4,80x6,10

Solicitar peça da bike kv 6.3i 
1 roda de inércia
1 pé de vela esquerdo"
04/09/2025,Blue Fit Aquarius,"Aquarius Center - Av. Cassiano Ricardo, 521 - 3. andar - Parque Res. Aquarius, São José dos Campos - SP, 12246-870 - 3 andar- SL 01",https://app.auvo.com.br/informacoes/tarefa/2a2c7240-1352-4b3b-bb5c-0ef8580c16f4?chave=p-u4v41E8eq6JJc8wkFJaQ,"Não foi possível instalar o freio da escada, barulho é do rolamentos"
04/09/2025,Condominio Piaget,"R. Benedito Pinoti, 950 - Urbanova, São José dos Campos - SP, 12244-250",https://app.auvo.com.br/informacoes/tarefa/37e4a6e2-f621-4352-8ac9-92a018184e2e?chave=S58QA3gqGHOrhYoeWCX0dQ,"Foi verificado que a placa não está funcionando.
Placa retirada para orçamento."
04/09/2025,Xtrack Academia São José dos Campos,"Av. Alfredo Ignácio Nogueira Penido, 100 - Parque Res. Aquarius, São José dos Campos - SP, 12246-000",https://app.auvo.com.br/informacoes/tarefa/11585d59-80e8-4717-aef5-db9b7ce9b303?chave=5OAt2d6YMb-Mr80SK1k-lw,"Realizado troca de 3 cabos do Cross 1 cabo do cliente.
1 cabo 9M, nosso
1 cabo 8,50 nosso
Verificado 5 cabos dos cross
Cadeira flexora foi colocado 2 arruelas para estabilizar o eixo, tampa quebrada, necessário troca
Realizado limpeza e lubrificação da escada
Teste ok."
