Data,Cliente,Endereco,OS Digital,Relato
01/08/2025,Condominio Edificio De Ville,"R. Santo Agostinho, 93 - Vila Adyana, São José dos Campos - SP, 12243-800",https://app.auvo.com.br/informacoes/tarefa/a4c09f83-16c1-48c7-8783-b870bbfd0540?chave=GrG4ZQtAznd3ydtOiYyqXQ,"Realizado a solda no braço esquerdo do Peck deck da estação de musculação 
4 rolinhos para trocar médicas nas fotos.
Retirado estofado 
Teste ok"
05/08/2025,Impulso Fisioterapia,"R. dos Periquitos, 980 - Vila Tatetuba, São José dos Campos - SP, 12220-130",https://app.auvo.com.br/informacoes/tarefa/dee2f01e-0d37-4dc5-962a-2a59d41b978b?chave=u3PpQoqblcTaRHXUrAjgUA,"Foi realizado a desmontagem e montagem da abdutora/ adutora 
Teste ok
Equipamento está com cabo danificado e knob está quebrado."
05/08/2025,Condomínio Esplanada do Sol,"Av. Yêdo Martins, 5 - Conj. Res. Esplanada, São José dos Campos - SP, 12244-820",https://app.auvo.com.br/informacoes/tarefa/2c4bba32-3513-4f96-873e-762740eb8e85?chave=-srqWd3zZoSa-U5vblSnTA,"Cadeira extensora/flexora funcionando normalmente 
Esteira fazendo barulho por causa do atrito da carenagem com o braço esquerdo que está quebrado"
08/08/2025,ATHMOSPHERE VILA EMA,"Av. Heitor Villa Lobos, 600 - Jardim Sao Dimas, São José dos Campos - SP, 12243-260",https://app.auvo.com.br/informacoes/tarefa/92c51036-f192-4b40-9d1d-bac8e14e72e6?chave=yfb6y4C-Xrmp6cvXB-AzJA,"Encosto do banco está quebrado um ponto de fixação do estofado, necessário soldar.
Esteira o botão de emergência stop está funcionando normalmente, um ponto de folga nos terminais de acionamento, foi realizado o ajuste, teste ok"
08/08/2025,Blessed Condomínio ,"R. Jurema Viêira Medrado, 40 - Parque Res. Aquarius, São José dos Campos - SP, 12246-180",https://app.auvo.com.br/informacoes/tarefa/6aed8f03-ade8-4fca-bef3-f96466f9f284?chave=xphSn-a2CpOXQC8-2BMhBw,"Realizado manutenção preventiva em todos os equipamentos 
Retirado porca da bicicleta para compra.
Cabo da estação de musculação está danificado 
1 bicicleta fazendo barulho na roda de inércia, necessário retirar para fazer o orçamento.
Teste ok."
11/08/2025,SEST TAUBATE/SP - UNIDADE B - N 82,"Av. Isauro Moreira, 125 - Itaim, Taubaté - SP, 12081-261",https://app.auvo.com.br/informacoes/tarefa/8a8f8e45-2d99-4c50-8ee0-dc346d306da4?chave=XGSDqJIieuxF13odXZxLJw,"Realizado manutenção preventiva em todos os equipamentos 
1 esteira moviment está com a correia danificada.
2 Bicicleta embreex 359 E está com a correia danificada necessário troca, não dá para identificar a numeração 
Fazer orçamento nos estofados das fotos
Realizado ajuste no leg 45
Banco declinado quebrado, tem que fazer uma adaptação na estrutura ( professor falou) ver se tem como.
Bicicleta horizontal embreex 367 está com a trava do banco danificado 
Elíptico não está dando carga.
Rolo da extensora está saindo."
13/08/2025,LENISE STROTTMANN KERN,"Alameda Shiguero Haibara, 142, São José dos Campos - SP, 12244-555, Brasil - Reserva do Paratehy  Urbanova Setor Sul",https://app.auvo.com.br/informacoes/tarefa/0be9a1db-9506-4168-b8d8-2cf7437a5b80?chave=W5HUmbjfR9ZFHHuoZ7qNwQ,"Foi verificada a bicicleta que tem seu funcionamento na fonte 12 volts 1.25 a.

O problema da bicicleta está no seu motor de carga que não está se comunicando com o painel fazendo com que apresente o erro 02 e o motor ao ligar na fonte entre em looping tentando diminuir a carga.

É necessário trocar o motor de carga uma vez que foi realizado os testes de acordo com o fabricante e mesmo assim não funcionou"
13/08/2025,Spazio Campo Lazio,"Av. Salinas, 2445 - Bosque dos Eucaliptos, São José dos Campos - SP, 12233-593",https://app.auvo.com.br/informacoes/tarefa/3d93757c-9baa-4a43-8cd4-edb2846cb452?chave=gV3Y5gOx35QyFAVMshF09w,"Não houve concerto da peça do remo que foi retirada em atendimento anterior. Será necessário trocar a peça.

Foi retirada a placa da esteira que estava apresentando erro 06"
14/08/2025,CASA MORUMBI,"R. Luiz Fernandes, 79 - Cidade Morumbi, São José dos Campos - SP, 12236-750",https://app.auvo.com.br/informacoes/tarefa/ffb1efd7-23a7-44e3-a0d0-a5a74518d680?chave=-Yn23SurwfflWNJtXU-t3A,"Realizado instalação do motor de inclinação, lona e retirado a placa do painel para instalar em outra esteira 
Motor de inclinação está funcionando normalmente, apenas com mal contato nos encaixes dos terminais na placa.
Teste ok"
14/08/2025,Clube de Campo Santa Rita,"Avenida Loth Bagunha Maldos, Jardim do Golfe, São José dos Campos - SP, Brasil",https://app.auvo.com.br/informacoes/tarefa/5ba66965-11c1-42dd-8dd9-f07e30796971?chave=Z9s5Sk6hNmeZqViaOAQryw,"Foi realizado a manutenção preventiva em todos os equipamentos.

Das bike Spinning uma teve seu pedal quebrado dentro do pedivela. Sendo necessário a troca do conjunto.
Como ja havia uma bicicleta parada foi realizado a canibalização para que somente uma bicicleta ficasse parada.

A bike parada necessário de 1 par de pedal, 1 pedivela direito(R), 1 par de firma pé"
22/08/2025,Avante Condomínio Clube,"Av. Robson Custódio Machado, 563 - Floresta, São José dos Campos - SP, 12226-392",https://app.auvo.com.br/informacoes/tarefa/f0bc33f0-3508-4ee6-b437-b597865514df?chave=uxF5NqLed3yxAT94Ln3ApQ,"Montagem da bicicleta, das duas esteiras e suporte de barra com anilhas 

Ou espaldar não foi possível instalar pois os dois fungos superiores no lado esquerdo bateram no ferro tendo inviável a instalação"
25/08/2025,Solar do Barão,"Rua Barão de Jacareí, Jacareí - SP, 12308-001, Brasil - 01 - 01",https://app.auvo.com.br/informacoes/tarefa/1135b290-0890-4a9f-8645-51998aba8d62?chave=uwmjRtP7YS1SrasepqjDNw,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação está com cabo danificado 
Bicicleta horizontal está sem trava pés.
Banco está quebrado 
Teste ok"
25/08/2025,COLINAS PARATEHY NORTE e SUL,COLINAS PARATEHY NORTE,https://app.auvo.com.br/informacoes/tarefa/682dfbae-743c-49a8-8b61-9891cf466095?chave=-QNm5aYWw34TV0Iwlu8DNw,"Foi feita a lubrificação das duas esteiras testadas e nenhuma das duas continuou travando.

A estação está com um dos suporte de roldana danificado, sendo necessário soldar"
