Data,Cliente,Endereco,OS Digital,Relato
01/08/2025,DIEGO DANIEL RIBEIRO GONCALVES ASSESSORIA ESPORTIV,"Av. Linneu de Moura, 1685 - Urbanova, São José dos Campos - SP, 12244-380 Escolinha de Futebol DDF",https://app.auvo.com.br/informacoes/tarefa/77a770a7-1ebd-4b4c-9a40-4bb05dbdb747?chave=ES2QSP-oFSxbpisa9He2uw,"Realizado teste, não apresentou falha, verificado 1 conector da placa danificado, ferrugem 
Foi limpo, conector e terminal 
Se ocorrer a falha novamente recomendo verificar placa.
Deck danificado 
Teste ok"
01/08/2025,Condominio Edificio De Ville,"R. Santo Agostinho, 93 - Vila Adyana, São José dos Campos - SP, 12243-800",https://app.auvo.com.br/informacoes/tarefa/a4c09f83-16c1-48c7-8783-b870bbfd0540?chave=GrG4ZQtAznd3ydtOiYyqXQ,"Realizado a solda no braço esquerdo do Peck deck da estação de musculação 
4 rolinhos para trocar médicas nas fotos.
Retirado estofado 
Teste ok"
01/08/2025,RESIDENCIAL PORTO REGIO,Edifício Porto Régio - 72,https://app.auvo.com.br/informacoes/tarefa/7799137e-f659-4451-9f91-54fafeae2939?chave=JLM4U3qcq-nB-HSbyEF-zw,"Tr7 pro 0010 está travando motor fraco e lona pesada

Tr7 pro 0001 está travando em baixa velocidade

Abdutora cabo danificado 

Leg com anilhas  ok

Multi estação ok

Bike horizontal oneal  funcionando 

Bike spinning wtc fitness, painel com led danificado 

Estação tours 408 cabo de aço danificado, superior e peck deck.

condominioportoregio72@gmail.com"
01/08/2025,JERIBA,"Estr. do Limoeiro, 595 - Jardim California, Jacareí - SP, 12335-360",https://app.auvo.com.br/informacoes/tarefa/57b49489-c6a6-49ee-b811-95ccc99d4bcd?chave=JZE6zWyCj6FCVGMabKllCg,"Instalado correia
Sem trava pés 
Pedal danificado 
Teste ok"
01/08/2025,GRAND VALLE ELVIRA UP,"R. Bartolomeu Fernandes Faria, 183 - Centro, Jacareí - SP, 12308-200",https://app.auvo.com.br/informacoes/tarefa/fab1a416-5b7b-426f-9500-644bef4e0b7d?chave=xA4VFjC5tn7AdN3rBGV5Zw,"Foram entregues e montado 

1 Cavale
1 banco 

1 Par de anilhas de 5kg
1 Par de anilhas de 10kg
1 Par de anilhas de 15kg

6 Pisos de borracha 1x1 15mm

O síndico Daniel identificou alguns pontos no cavalete que a pintura está danificada, borracha gasta e pontos de oxidação e vai entrar em contato com o Adriano, solicitando a troca do cavalete."
04/08/2025,RESIDENCIAL GRAND VALLE ELVIRA UP,"R. Bartolomeu Fernandes Faria, 183 - Centro, Jacareí - SP, 12308-200",https://app.auvo.com.br/informacoes/tarefa/144ddd34-a96e-42ec-88ef-0b582b124eb9?chave=HhJZbTrMOBdJKRQ8HzDbZg,"Realizado manutenção preventiva em todos os equipamentos
Verificado as correias estão ok 
Esteira o deck está começando a arranhar e a carenagem do motor está quebrada
Teste ok"
05/08/2025,Impulso Fisioterapia,"R. dos Periquitos, 980 - Vila Tatetuba, São José dos Campos - SP, 12220-130",https://app.auvo.com.br/informacoes/tarefa/dee2f01e-0d37-4dc5-962a-2a59d41b978b?chave=u3PpQoqblcTaRHXUrAjgUA,"Foi realizado a desmontagem e montagem da abdutora/ adutora 
Teste ok
Equipamento está com cabo danificado e knob está quebrado."
05/08/2025,Condomínio Esplanada do Sol,"Av. Yêdo Martins, 5 - Conj. Res. Esplanada, São José dos Campos - SP, 12244-820",https://app.auvo.com.br/informacoes/tarefa/2c4bba32-3513-4f96-873e-762740eb8e85?chave=-srqWd3zZoSa-U5vblSnTA,"Cadeira extensora/flexora funcionando normalmente 
Esteira fazendo barulho por causa do atrito da carenagem com o braço esquerdo que está quebrado"
05/08/2025,RESIDENCIAL BRISAS DO ESTORIL,"R. José Ivair de Souza, 71 - Jardim Estoril, São José dos Campos - SP, 12232-060",https://app.auvo.com.br/informacoes/tarefa/fca5ffa1-9bfe-4f50-91e3-3eb97acaa205?chave=vmBJOPT4wQHkgmp478ESQw,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação está com a capa de proteção da torre danificado 
Bicicleta está sem trava pés 
Teste ok"
07/08/2025,Denivalter Moraes Silva Junior TS Studio,"Av. Dr. João Baptista Soares de Queiroz Júnior, 1050 - Jardim das Industrias, São José dos Campos - SP, 12240-000",https://app.auvo.com.br/informacoes/tarefa/7c54975f-bb75-4f23-ba2e-8af6163a0cee?chave=WWdcI5dlbsUz0VTjXPACdQ,"Realizado a montagem do Cross ( está empenado a estrutura)
Desembabagem dos equipamentos.
Verificado que a bicicleta Spinner está com o rolamento danificado"
08/08/2025,ATHMOSPHERE VILA EMA,"Av. Heitor Villa Lobos, 600 - Jardim Sao Dimas, São José dos Campos - SP, 12243-260",https://app.auvo.com.br/informacoes/tarefa/92c51036-f192-4b40-9d1d-bac8e14e72e6?chave=yfb6y4C-Xrmp6cvXB-AzJA,"Encosto do banco está quebrado um ponto de fixação do estofado, necessário soldar.
Esteira o botão de emergência stop está funcionando normalmente, um ponto de folga nos terminais de acionamento, foi realizado o ajuste, teste ok"
08/08/2025,Blessed Condomínio ,"R. Jurema Viêira Medrado, 40 - Parque Res. Aquarius, São José dos Campos - SP, 12246-180",https://app.auvo.com.br/informacoes/tarefa/6aed8f03-ade8-4fca-bef3-f96466f9f284?chave=xphSn-a2CpOXQC8-2BMhBw,"Realizado manutenção preventiva em todos os equipamentos 
Retirado porca da bicicleta para compra.
Cabo da estação de musculação está danificado 
1 bicicleta fazendo barulho na roda de inércia, necessário retirar para fazer o orçamento.
Teste ok."
08/08/2025,CONDOMINIO RESIDENCIAL PALOMA,"R. do Aruanã, 67 - Jardim Aquarius, São José dos Campos - SP, 12246-250",https://app.auvo.com.br/informacoes/tarefa/5b74dd91-9953-4b03-97b7-e4388b1f73a2?chave=4P9SNAn8-ZZnApUghwosWg,"Realizado manutenção preventiva em todos os equipamentos 
Realizado o teste na esteira, 10 min como orientado, não apresentou nenhum errocabo da estação de musculação está danificado 
2 estofados danificados.
Teste ok"
08/08/2025,SKY HOUSE CLUB,"Rua Professor Duílio Panziera, 101 - Altos do Esplanada, São José dos Campos - SP, 12246-015",https://app.auvo.com.br/informacoes/tarefa/219730c7-c89d-4adc-b1d9-27c622a7b985?chave=l86oXY3uae6ijzhL-qaw7Q,"Realizado manutenção preventiva em todos os equipamentos 
Elíptico Kikos pro  apresentou erro 1 nao está dando carga.
Cadeira abdutora/adutora realizado ajuste no cabo, cabo danificado.
Teste ok"
08/08/2025,AQUARIUS RESORT,Rua Heitor Vieira Júnior Jardim Altos Esplanada São José dos Campos-SP 12246-013 - 191 - 191,https://app.auvo.com.br/informacoes/tarefa/be6a0d12-839e-4630-b2bc-aac48893ef6b?chave=XW809Zala7HkoQ3Nl3wEBw,"Realizado manutenção preventiva em todos os equipamentos 
Cabos do Cross danificados
Teste ok"
11/08/2025,JARDIM TERRAS DO VALE ASSOCIACAO DOS ADQUIRENTES DE LOTES DO LOTEAMENTO RESIDENCIA,"Caçapava - SP, 12281-010, Brasil",https://app.auvo.com.br/informacoes/tarefa/696d58bf-c873-4d33-a8f1-ef1a344d98af?chave=Gd4QsJMUeZjECd9-7OZiEQ,"Realizado manutenção preventiva em todos os equipamentos 
Troca de cabo flexora 3.10M
Bicicleta horizontal está sem trava pés 
Bicicleta está sem trava pés 
Troca do cabo leg press 45° 4.00M
Máquina supino está com o cabo danificado.
Teste ok"
11/08/2025,SEST TAUBATE/SP - UNIDADE B - N 82,"Av. Isauro Moreira, 125 - Itaim, Taubaté - SP, 12081-261",https://app.auvo.com.br/informacoes/tarefa/8a8f8e45-2d99-4c50-8ee0-dc346d306da4?chave=XGSDqJIieuxF13odXZxLJw,"Realizado manutenção preventiva em todos os equipamentos 
1 esteira moviment está com a correia danificada.
2 Bicicleta embreex 359 E está com a correia danificada necessário troca, não dá para identificar a numeração 
Fazer orçamento nos estofados das fotos
Realizado ajuste no leg 45
Banco declinado quebrado, tem que fazer uma adaptação na estrutura ( professor falou) ver se tem como.
Bicicleta horizontal embreex 367 está com a trava do banco danificado 
Elíptico não está dando carga.
Rolo da extensora está saindo."
11/08/2025,Allure,"R. Reginaldo Antônio Sandi, 231 - Esplanada Independência, Taubaté - SP",https://app.auvo.com.br/informacoes/tarefa/fa7492ff-550c-4e2e-8439-728ebd757c55?chave=MNjS18mdGL8MXoI4YLFiaw,"Realizado manutenção preventiva em todos os equipamentos 
2 esteiras estão com a membrana do painel danificada.
Teste ok"
12/08/2025,TANGARA,"Residencial Tangará Av. Livio Veneziani, 319 - Chácaras São José, São José dos Campos - SP, 12227-570",https://app.auvo.com.br/informacoes/tarefa/d224d62c-8ec6-483c-9102-4d5c0a91b7aa?chave=sYoWndKUfRLc5GuYFZi-cA,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação está com o cabo danificado 
Bicicleta speedo R35 está com a membrana do Painel danificado 
Sem trava pés.
Estofado do banco danificado 
Teste ok"
12/08/2025,FÊNIX,"R. Dr. Jorge de Oliveira Coutinho, 280 - Parque Res. Aquarius, São José dos Campos - SP, 12246-060",https://app.auvo.com.br/informacoes/tarefa/c5a8c746-12ce-4566-9c24-251e0f5d82c2?chave=T7Hn3w-1vT5xfKBiBTMbog,"Realizado manutenção preventiva em todos os equipamentos 
Troca de cabo da estação de musculação 6.40M 3 ponteiras 
1 Bicicleta fitnex painel danificado 
1 estofado da estação de musculação está danificado 
1 estofado banco está danificado 
Teste ok"
12/08/2025,SKY HOUSE CLUB,"Rua Professor Duílio Panziera, 101 - Altos do Esplanada, São José dos Campos - SP, 12246-015",https://app.auvo.com.br/informacoes/tarefa/2df5c790-2fde-48c8-ac6d-8bd6b7898c20?chave=pzLtF8hpQNkgkxWPiJ14Cg,"Cadeira Abdutora foi realizado ao ajuste do cabo de aço, video no anexo, 1 tampa da estrutura quebrada.

2 encosto dos bancos regulável estão com os estofados danificado 

1 Super Band roxo está estourado"
13/08/2025,LENISE STROTTMANN KERN,"Alameda Shiguero Haibara, 142, São José dos Campos - SP, 12244-555, Brasil - Reserva do Paratehy  Urbanova Setor Sul",https://app.auvo.com.br/informacoes/tarefa/0be9a1db-9506-4168-b8d8-2cf7437a5b80?chave=W5HUmbjfR9ZFHHuoZ7qNwQ,"Foi verificada a bicicleta que tem seu funcionamento na fonte 12 volts 1.25 a.

O problema da bicicleta está no seu motor de carga que não está se comunicando com o painel fazendo com que apresente o erro 02 e o motor ao ligar na fonte entre em looping tentando diminuir a carga.

É necessário trocar o motor de carga uma vez que foi realizado os testes de acordo com o fabricante e mesmo assim não funcionou"
13/08/2025,JATHAY,"Rua Bárbara Knippelberg Loureiro, Vila Ema, São José dos Campos - SP, 12243-040, Brasil",https://app.auvo.com.br/informacoes/tarefa/f0f920e2-fd77-4bec-923f-3996ec0f4afe?chave=tmtmKeUgmP-VCcwva5FEUg,"Manutenção preventiva em todos os equipamentos.

Retirado o transformador danificado"
13/08/2025,Spazio Campo Lazio,"Av. Salinas, 2445 - Bosque dos Eucaliptos, São José dos Campos - SP, 12233-593",https://app.auvo.com.br/informacoes/tarefa/3d93757c-9baa-4a43-8cd4-edb2846cb452?chave=gV3Y5gOx35QyFAVMshF09w,"Não houve concerto da peça do remo que foi retirada em atendimento anterior. Será necessário trocar a peça.

Foi retirada a placa da esteira que estava apresentando erro 06"
13/08/2025,ANDRE LUIZ SCHUTZENBERGER TORRES,"Av. Carlos Drumond de Andrade, 159 - Jardim Santa Maria, Jacareí - SP, 12328-150 - CASA 240 Condomínio Vert Ville",https://app.auvo.com.br/informacoes/tarefa/ff6e6cec-c610-48c4-8fd0-d7340b03a430?chave=3SSC-7k-j5-6-fiSET4blw,"Equipamento está ok, não tem peça ou estrutura empenada ou danificado, cliente movimentou equipamento e falou que o tapete está torto e o ajuste do encosto não chega na última seleção."
14/08/2025,CASA MORUMBI,"R. Luiz Fernandes, 79 - Cidade Morumbi, São José dos Campos - SP, 12236-750",https://app.auvo.com.br/informacoes/tarefa/ffb1efd7-23a7-44e3-a0d0-a5a74518d680?chave=-Yn23SurwfflWNJtXU-t3A,"Realizado instalação do motor de inclinação, lona e retirado a placa do painel para instalar em outra esteira 
Motor de inclinação está funcionando normalmente, apenas com mal contato nos encaixes dos terminais na placa.
Teste ok"
14/08/2025,Clube de Campo Santa Rita,"Avenida Loth Bagunha Maldos, Jardim do Golfe, São José dos Campos - SP, Brasil",https://app.auvo.com.br/informacoes/tarefa/5ba66965-11c1-42dd-8dd9-f07e30796971?chave=Z9s5Sk6hNmeZqViaOAQryw,"Foi realizado a manutenção preventiva em todos os equipamentos.

Das bike Spinning uma teve seu pedal quebrado dentro do pedivela. Sendo necessário a troca do conjunto.
Como ja havia uma bicicleta parada foi realizado a canibalização para que somente uma bicicleta ficasse parada.

A bike parada necessário de 1 par de pedal, 1 pedivela direito(R), 1 par de firma pé"
15/08/2025,FLORA JACAREI,"Av. G. C Josué Sant'ana, 598 - Itamarati, Jacareí - SP, 12310-054",https://app.auvo.com.br/informacoes/tarefa/4c32c84f-e7f6-49ad-9e3f-1092da78d9d2?chave=TMpJkNAby51Jby3SNKyYxw,"Entregue e montado esteira funcionando corretamente 

Esteira Sh4,5 starke está com o botão de inclinação do braço danificado, lonas gasta e motor fazendo barulho."
15/08/2025,CONDOMINIO EDIFICIO RESIDENCIAL GARDEN TOWER,"R BENEDITO OSVALDO LECQUES, 221, JD. CASSIANO RICARDO, SAO JOSE DOS CAMPOS, SP, 12.246-021",https://app.auvo.com.br/informacoes/tarefa/c1c3aa8d-ac30-4215-a897-476c8b622ce9?chave=OPjvf0i5teK6fwezPT7iYg,"Foi realizado a manutenção das duas bikes verticais. 

É necessário a troca do banco que tem conexão comum, como a foto anexadas mostra.
Além disso a caixa central de uma das bicicletas está danificada, fazendo que trave na hora de pedalar"
18/08/2025,JERIBA,"Estr. do Limoeiro, 595 - Jardim California, Jacareí - SP, 12335-360",https://app.auvo.com.br/informacoes/tarefa/2a5e6b0c-145e-44e9-ad3e-12c388a26e3e?chave=Jhqa7vTGpsDja7PaEGBO0w,"Realizado manutenção preventiva em todos os equipamentos 
Bicicleta está sem trava pés, danificado borracha do guidão 
Banco supino danificado estofado estação de musculação banco, estofado danificado.
Teste ok."
18/08/2025,Edificio Villa Bella,"Av. das Letras, 282 - Lot. Villa Branca, Jacareí - SP, 12301-330",https://app.auvo.com.br/informacoes/tarefa/d9986c3d-8073-4455-950f-48d699621ef4?chave=X0a34KRtzS1xubkCj-NUvA,"Realizado manutenção preventiva em todos os equipamentos 
1 bicicleta está sem trava pés 
1 esteira está com a correia danificada 
Teste ok"
18/08/2025,Home & Club Villa Branca,"Av. das Letras, 1099 - Lot. Villa Branca, Jacareí - SP, 12301-000",https://app.auvo.com.br/informacoes/tarefa/fde3a2c2-aac6-4b9d-b45d-dabd7c3ddcb6?chave=MMUyn8LHa4mD0-sEDp80uQ,"Realizado manutenção preventiva em todos os equipamentos 
Troca do cabo do Cross e da remada 9.50 M
1 esteira speedo TR8 pro fazendo barulho quando corre, moradores reclamando, foi realizado, nivelamento, mas continua um barulho na estrutura, lona danificada 
1 esteira moviment está com lona danificada 
Teste ok"
18/08/2025,Condomínio Majestic,Condomínio Edifício Majestic,https://app.auvo.com.br/informacoes/tarefa/19a8a518-3b63-4f38-a920-5ccdd223d1e8?chave=1DEBRyu9IGcqG6cbZI9Uog,"Realizado manutenção preventiva em todos os equipamentos.
Cabo da estação de musculação está danificado
Teste ok"
18/08/2025,CONDOMINIO GEMINI Royal Park,"Rua Jesus Garcia, 111 - Jardim Alvorada, São José dos Campos - SP, 12246-875",https://app.auvo.com.br/informacoes/tarefa/65f2c853-b2c6-419f-be3e-c48834aa3c2b?chave=SNj0jkIXDxh8NsDXvzF72g,"Manutenção preventiva em todos os equipamentos.

Bike horizontal 
Rosca das porcas do eixo estão danificados."
