Data,Cliente,Endereco,OS Digital,Relato
01/08/2025,Condominio Edificio De Ville,"R. Santo Agostinho, 93 - Vila Adyana, São José dos Campos - SP, 12243-800",https://app.auvo.com.br/informacoes/tarefa/a4c09f83-16c1-48c7-8783-b870bbfd0540?chave=GrG4ZQtAznd3ydtOiYyqXQ,"Realizado a solda no braço esquerdo do Peck deck da estação de musculação 
4 rolinhos para trocar médicas nas fotos.
Retirado estofado 
Teste ok"
04/08/2025,SOLAR AQUARIUS,"R. do Aruanã, 116 - Parque Res. Aquarius, São José dos Campos - SP, 12246-250",https://app.auvo.com.br/informacoes/tarefa/765288e6-baab-49c3-8d61-c0ea3f1e82d6?chave=e7p7VLuPqvAT-PkYI1kNyw,"Realizado manutenção preventiva em todos os equipamentos 
Ajuste de lona e correia nas 2 esteiras
Teste ok"
04/08/2025,RESIDENCIAL GRAND VALLE ELVIRA UP,"R. Bartolomeu Fernandes Faria, 183 - Centro, Jacareí - SP, 12308-200",https://app.auvo.com.br/informacoes/tarefa/144ddd34-a96e-42ec-88ef-0b582b124eb9?chave=HhJZbTrMOBdJKRQ8HzDbZg,"Realizado manutenção preventiva em todos os equipamentos
Verificado as correias estão ok 
Esteira o deck está começando a arranhar e a carenagem do motor está quebrada
Teste ok"
05/08/2025,Impulso Fisioterapia,"R. dos Periquitos, 980 - Vila Tatetuba, São José dos Campos - SP, 12220-130",https://app.auvo.com.br/informacoes/tarefa/dee2f01e-0d37-4dc5-962a-2a59d41b978b?chave=u3PpQoqblcTaRHXUrAjgUA,"Foi realizado a desmontagem e montagem da abdutora/ adutora 
Teste ok
Equipamento está com cabo danificado e knob está quebrado."
05/08/2025,Condomínio Esplanada do Sol,"Av. Yêdo Martins, 5 - Conj. Res. Esplanada, São José dos Campos - SP, 12244-820",https://app.auvo.com.br/informacoes/tarefa/2c4bba32-3513-4f96-873e-762740eb8e85?chave=-srqWd3zZoSa-U5vblSnTA,"Cadeira extensora/flexora funcionando normalmente 
Esteira fazendo barulho por causa do atrito da carenagem com o braço esquerdo que está quebrado"
05/08/2025,RESIDENCIAL BRISAS DO ESTORIL,"R. José Ivair de Souza, 71 - Jardim Estoril, São José dos Campos - SP, 12232-060",https://app.auvo.com.br/informacoes/tarefa/fca5ffa1-9bfe-4f50-91e3-3eb97acaa205?chave=vmBJOPT4wQHkgmp478ESQw,"Realizado manutenção preventiva em todos os equipamentos 
Estação de musculação está com a capa de proteção da torre danificado 
Bicicleta está sem trava pés 
Teste ok"
05/08/2025,Edifício Belo Horizonte,"R. José Ivair de Souza, 51 - Jardim Estoril, São José dos Campos - SP, 12232-060",https://app.auvo.com.br/informacoes/tarefa/43464ec5-93f7-4958-87a2-6fa7f888f77e?chave=d73BcPU1YuZQeebvKjh-rA,"Realizado manutenção preventiva em todos os equipamentos
Teste ok"
05/08/2025,Residencial Monte Estoril,"R. José Ivair de Souza, 91 - Jardim Estoril, São José dos Campos - SP, 12232-060",https://app.auvo.com.br/informacoes/tarefa/56bbfca7-3e27-470f-b47c-daf665c0dc62?chave=F-M9ZfcBTqQ35P-qGK6wkw,"Realizado manutenção preventiva em todos os equipamentos 
Ajuste de correia de 1 esteira 
Teste ok"
05/08/2025,SMART RESIDENCE,"R. Itajai, 161 - Altos do Esplanada, São José dos Campos - SP, 12246-856",https://app.auvo.com.br/informacoes/tarefa/97ff7df6-6d6c-412a-b2fa-016319b5de5f?chave=p-Y9kwiDoiEHcvJO0YTpgg,"Realizado manutenção preventiva em todos os equipamentos 
Teste ok"
08/08/2025,ATHMOSPHERE VILA EMA,"Av. Heitor Villa Lobos, 600 - Jardim Sao Dimas, São José dos Campos - SP, 12243-260",https://app.auvo.com.br/informacoes/tarefa/92c51036-f192-4b40-9d1d-bac8e14e72e6?chave=yfb6y4C-Xrmp6cvXB-AzJA,"Encosto do banco está quebrado um ponto de fixação do estofado, necessário soldar.
Esteira o botão de emergência stop está funcionando normalmente, um ponto de folga nos terminais de acionamento, foi realizado o ajuste, teste ok"
08/08/2025,Blessed Condomínio ,"R. Jurema Viêira Medrado, 40 - Parque Res. Aquarius, São José dos Campos - SP, 12246-180",https://app.auvo.com.br/informacoes/tarefa/6aed8f03-ade8-4fca-bef3-f96466f9f284?chave=xphSn-a2CpOXQC8-2BMhBw,"Realizado manutenção preventiva em todos os equipamentos 
Retirado porca da bicicleta para compra.
Cabo da estação de musculação está danificado 
1 bicicleta fazendo barulho na roda de inércia, necessário retirar para fazer o orçamento.
Teste ok."
08/08/2025,CONDOMINIO RESIDENCIAL PALOMA,"R. do Aruanã, 67 - Jardim Aquarius, São José dos Campos - SP, 12246-250",https://app.auvo.com.br/informacoes/tarefa/5b74dd91-9953-4b03-97b7-e4388b1f73a2?chave=4P9SNAn8-ZZnApUghwosWg,"Realizado manutenção preventiva em todos os equipamentos 
Realizado o teste na esteira, 10 min como orientado, não apresentou nenhum errocabo da estação de musculação está danificado 
2 estofados danificados.
Teste ok"
08/08/2025,SKY HOUSE CLUB,"Rua Professor Duílio Panziera, 101 - Altos do Esplanada, São José dos Campos - SP, 12246-015",https://app.auvo.com.br/informacoes/tarefa/219730c7-c89d-4adc-b1d9-27c622a7b985?chave=l86oXY3uae6ijzhL-qaw7Q,"Realizado manutenção preventiva em todos os equipamentos 
Elíptico Kikos pro  apresentou erro 1 nao está dando carga.
Cadeira abdutora/adutora realizado ajuste no cabo, cabo danificado.
Teste ok"
08/08/2025,AQUARIUS RESORT,Rua Heitor Vieira Júnior Jardim Altos Esplanada São José dos Campos-SP 12246-013 - 191 - 191,https://app.auvo.com.br/informacoes/tarefa/be6a0d12-839e-4630-b2bc-aac48893ef6b?chave=XW809Zala7HkoQ3Nl3wEBw,"Realizado manutenção preventiva em todos os equipamentos 
Cabos do Cross danificados
Teste ok"
08/08/2025,Hollywood Aquarius Club,"Rua Jesus Garcia, 151 Jardim Cassiano Ricardo São José dos Campos-SP 12246-875",https://app.auvo.com.br/informacoes/tarefa/343e1dd0-c537-436e-9c62-dc0d1b46f17c?chave=GMvu6f2s-MLO06oivobDIQ,Realizado manutenção preventiva na esteira
08/08/2025,Enjoy Aquarius,"Rua Jesus Garcia, 51 - Jardim Alvorada, São José dos Campos - SP, 12246-875",https://app.auvo.com.br/informacoes/tarefa/0b023b1f-0573-4c72-affb-06f4eaa0fc59?chave=S7xSDVzJBwlxvOCJTAydvg,Realizado manutenção preventiva em todos os equipamentos
